Lake_Name_Standardized,Date,Station name,Station code,water_bodies,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate-N (mg/L),Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Source_File,Nitrate,COD,Free Ammonia  (mg/L),P/R Ratio,Total Phosphate (mg/L),Ortho Phosphate (mg/L),Any Other,Free Ammonia (mg/L),Orthophosphate (mg/L),Arsenic,Cadmium (Cd),Copper (Cu),Lead (Pb),Total Chromium (T. Cr),Nickel (Ni),Zinc (Zn),Iron (Fe),% Sodium,Unnamed: 36,Unnamed: 37,Free Ammonia,Ammonia  (mg/L),Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron,COD (mg/L).1,Sodium %,Faecal streptococci,Fecal streptococci,Unnamed: 38,District,RO,Total coliform (MPN/100ml),Total Hardness as CaCO3(mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Ammonia,Ammonia-N (mg/L),Total Hardness as CaCO3 (mg/L),Calcium Carbonate as CaCO3,Magnesium Carbonate as CaCO3,Conductivity (μs/cm),Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Responsible Zonal Lab,Monitoring date,Sampling time,Use of Water in Downstream,Human activities,Major polluting,Visible Effluent,Weather,Depth (mtrs.),Floating matter,Colour,Odour,Flow (m3/Sec),Water Temp. (OC),Unnamed: 64,Unnamed: 56,Unnamed: 57,Unnamed: 58,Classes,Remarks,Unnamed: 48
Osman Sagar (Gandipet),January 2018,"U/s of Musi at Gandipet (Osmansagar lake) (BM-Jan, Apr & Oct)",1172,River Musi,5.1,7.78,326.0,BDL,0.2,,Nil,20.0,,,4.0,BDL,122.0,22.0,8.0,Less than 1,**,110.0,24.0,12.0,6.0,15.0,191.0,140.0,4.0,0.51,0.5,4.0,0.84,21.81,0.62,1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain Sagar,January 2018,Hussain sagar Lake,1391,Lakes and Tanks,Less than  0.06,7.49,1412.0,15,6.2,,20,440.0,,,10.0,BDL,322.0,154.0,78.0,1.2,Less than  1,390.0,116.0,24.3,70.0,108.0,789.0,618.0,70.0,2.1,0.12,10.0,0.85,36.5,2.37,1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himayat Sagar,January 2018,"Himayathsagar lake (BM-Jan, Apr & Oct)",1789,Lakes and Tanks,5.6,8.28,312.0,1,0.2,,Nil,20.0,,,10.0,20,120.0,26.0,6.0,Less than 1,**,142.0,26.4,18.47,10.0,12.0,188.0,135.0,6.0,0.7,Less than  0.1,2.0,0.99,15.12,0.44,1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),October 2018,"U/s of Musi at Gandipet (Osmansagar lake) (BM-Jan, Apr & Oct)",1172,River Musi,6,7.07,381.0,3,,,5,24,,,3,0,120.0,40.0,24.0,BDL,,135.0,26.0,17.01,20.0,28.0,237.0,,5,0.03,BDL,5.0,0.72,29.96,1.04,10.csv,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain Sagar,October 2018,Hussain sagar Lake,1391,GHMC Areas Lakes /Tanks/ Cheruvus,0.7,7.27,1455.0,14,,,170,540,,,1.79,0,350.0,220.0,86.0,2.8,,350.0,70.0,42.52,112.0,185.0,891.0,,25,2.74,BDL,26.0,0.74,51.06,4.29,10.csv,26.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himayat Sagar,October 2018,"Himayathsagar lake (BM-Jan, Apr & Oct)",1789,HMDA Area Lakes,6,8.26,333.0,2,,,Nil,10,,,2,25,120.0,34.0,20.0,BDL,,105.0,24.0,10.94,9.0,31.0,201.0,,9,0.01,BDL,5.0,0.33,37.57,1.31,10.csv,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),November 2018,"U/s of Musi at Gandipet (Osmansagar lake) (BM-Jan, Apr & Oct)",1172,River Musi,5.3,7.78,380.0,2.0,,,NIL,8,,,4.55,0.0,135.0,25.0,10.0,BDL,,140.0,28.0,17.01,22.0,22.0,236.0,,6.0,0.24,BDL,6.0,0.45,24.46,0.57,11.csv,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain Sagar,November 2018,Hussain sagar Lake,1391,GHMC Areas Lakes /Tanks/ Cheruvus,Less than  0.06,7.77,1427.0,16.0,,,24,380,,,12.9,0.0,330.0,201.0,80.0,2.8,,335.0,56.0,47.38,92.0,166.0,868.0,,16.0,2.6,0.01,13.0,0.95,50.65,2.79,11.csv,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himayat Sagar,November 2018,"Himayathsagar lake (BM-Jan, Apr & Oct)",1789,HMDA Area Lakes,6.6,7.76,378.0,2.0,,,NIL,17,,,3.0,0.0,120.0,32.0,10.0,BDL,,135.0,24.0,18.22,22.0,22.0,234.0,,5.0,0.35,BDL,5.0,0.56,25.27,0.58,11.csv,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),December 2018,"U/s of Musi at Gandipet (Osmansagar lake) (BM-Jan, Apr & Oct)",1172,River Musi,5.8,7.41,366.0,2.0,,,NIL,19.0,,,6.26,BDL,95.0,41.0,,Less than 0.1,,110.0,18.0,15.79,15.0,28.0,222.0,,4.0,0.95,0.01,2.0,0.73,34.93,1.16,12.csv,0.65,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
